SciKG PDF vocabulary v3 - GROUNDED + FILTERED (378 papers)
Derived from the raw vocabulary by OMITTING junk terms. Nothing is
altered: every surviving string still appears verbatim in a source PDF
at its recorded char_span. The raw file remains the evidence record.
Stopword list: vocab_stopwords.csv (extend it as needed).
Junk = stopword match, <2 chars, or numeric/punctuation only.

=== instrument (737 distinct) ===
  x1  modified linear ion trap (LTQ, Thermo Fisher Scientific, San Jose, CA, USA) 14.5 T FT-ICR mass spectrometer
  x1  modular ICR data acquisition system (PREDATOR)
  x1  MultiMode VIII (BRUKER)
  x1  nano-HPLC system (ACQUITY MClass)
  x1  Nanodrop 1000
  x1  NanoDrop 2000 UV-vis spectrophotometer
  x1  nanoHPLC system (ACQUITY M-Class)
  x1  Nanospray Flex ion source (Thermo Scienti fi c)
  x1  negative-ion APPI FT-ICR MS
  x1  negative-ion ESI-FT-ICR-MS
  x1  NexION 250D mass spectrometer
  x1  Nicolet 6700 FTIR from Thermo
  x1  Nicolet iS5 (Thermo Fisher Scienti fi c)
  x1  Nicolet IS50 FT-IR spectrophotometer
  x1  Nicolet iS50 FTIR spectrometer
  x1  NIST-calibrated Mitutoyo micrometer
  x1  NMR computer
  x1  Nova 2000
  x1  NovaSEQ6000 platform
  x1  O.I. Analytical Model 1030 Total Organic Carbon Analyzer
  x1  O.I. Analytical Model 700
  x1  Ocean Optics UV-visible light absorbance spectrophotometer
  x1  Oceanographic instrumentation
  x1  OI Analytical four-channel Rapid Flow Analyzer
  x1  online SEC-UV-FT-ICR MS
  x1  open cylindrical ion trap
  x1  open cylindrical penning ion trap
  x1  orbitrap
  x1  Orbitrap Eclipse
  x1  Orbitrap Eclipse Tribrid
  x1  Orbitrap Eclipse Tribrid (Thermo Fisher Scientific)
  x1  Orbitrap Eclipse Tribrid (Thermo Scienti fi c)
  x1  Orbitrap Elite
  x1  Orbitrap Exploris 120
  x1  Orbitrap Fusion Lumos (Thermo Fisher Scienti fi c)
  x1  Orbitrap high-resolution mass spectrometer platform
  x1  Orbitrap mass analyzer
  x1  Orbitrap mass spectrometer
  x1  Orbitrap mass spectrometer detector
  x1  Orbitraps
  x1  packed columns or trayed towers
  x1  Parr Instruments semimicro calorimeter
  x1  Parr reactor (Model 4561)
  x1  Pegasus GC-HRT 4D
  x1  Pegasus GCHRT 4D
  x1  Perkin Elmer NexION 300D
  x1  Perkin Elmer Optima 7300 inductively coupled plasma (ICP) optical emission spectrometer
  x1  Perkin Elmer Quantulus TM
  x1  Perkin-Elmer Spectrum Two Infrared Spectrometer
  x1  PerkinElmer Frontier FTIR spectrometer
  x1  PerkinElmer Lambda 650s
  x1  PerkinElmer Nexion 350X ICP-MS
